Source,Harga Lama,Harga Baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Inspirasi-dan-Spiritual/Inspirasional/124042-NEZ-Inda-Club.html,Rp 94.500,,NEZ Inda Club,9786021258835,Matahari ,April - 2014,-,600 gr,Soft Cover,-,Inspirasional,-,Indonesia ··
https://www.bukukita.com/katalogbukuatribut.php?atrId=4&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Novel/Romance/163926-Pesan-Dari-Bintang.html,Rp 125.000,,Pesan Dari Bintang,9786028740722,Lentera Hati ,Desember - 2019,528,500 gr,Soft Cover,13x20mm,Romance,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Indonesia/161370-Biografi-Resmi-Pierre-Tendean:-Sang-Patriot-Kisah-Seorang-Pahlawan-Revolusi.html,Rp 99.000,,Biografi Resmi Pierre Tendean: Sang Patriot-Kisah Seorang Pahlawan Revolusi,9786024126520,Kompas ,Maret - 2019,368,500 gr,Soft Cover,-,Sejarah Indonesia,-,Indonesia ·
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/86300-Undang-Undang-Ketransmigrasian.html,Rp 31.500,,Undang-Undang Ketransmigrasian,978,Fokus Media ,2007,131,250 gr,Soft Cover,11x21mm,Undang-undang,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/160842-Crazy-And-Complete-Personality-Test-Kenali-Dirimu-Sendiri-dan-Orang-Lain.html,Rp 69.500,,Crazy And Complete Personality Test - Kenali Dirimu Sendiri dan Orang Lain,9786025907876,Psikologi Corner ,Januari - 2019,264,300 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/162405-The-Seat-of-the-Soul:-Visi-Spiritual-tentang-Takdir-Manusia.html,Rp 49.000,,The Seat of the Soul: Visi Spiritual tentang Takdir Manusia,9786026117304,Alvabet ,2018,-,300 gr,Soft Cover,-,Motivasi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/108229-Dosa-Dosa-Besar.html,Rp 30.600,,Dosa-Dosa Besar,9789796656028,Angkasa ,2010,122,155 gr,Soft Cover (HVS),-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168838-Maaf-Tuhan-Aku-Hampir-Porak-Poranda-Karena-Perasaan.html,Rp 74.900,,Maaf Tuhan Aku Hampir Porak - Poranda Karena Perasaan,9786026744999,sahima ,Februari - 2022,194,235 gr,Soft Cover,14x21mm,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/159617-THE-ART-OF-LISTENING:-Sudahkah-Anda-Benar-Benar-Mendengarkan?.html,Rp 39.800,,THE ART OF LISTENING: Sudahkah Anda Benar-Benar Mendengarkan?,9786025638695,Anak Hebat Indonesia ,Oktober - 2018,-,200 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Hukum-dan-Undang-undang/Undang-undang/86241-Undang-Undang-Perkeretaapian.html,Rp 40.500,,Undang-Undang Perkeretaapian (Undang-Undang Republik Indonesia Nomor 23 Tahun 2007),9786028189880,Fokus Media ,2009,356,150 gr,Soft Cover,11x21mm,Undang-undang,-,Indonesia ··
https://www.bukukita.com/Hobi-dan-Usaha/Perkebunan-Pertanian-Perikanan/108926-Bertanam-Tanaman-Buah-Dalam-Pot.html,Rp 31.000,,Bertanam Tanaman Buah Dalam Pot,9789790270801,Titian Ilmu ,2009,78,200 gr,Soft Cover,-,Perkebunan-Pertanian-Perikanan,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/159650-Tes-Buta-Warna-Untuk-Semua-Keperluan.html,Rp 48.500,,Tes Buta Warna Untuk Semua Keperluan,9786025907098,Anak Hebat Indonesia ,Oktober - 2018,124,200 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/166973-FILOSOFI-DOA.html,Rp 49.000,,"FILOSOFI DOA ( Dari penentraman hati , Pembangun Diri, hingga pengubah Nasib",9786237163411,Alifia Books ,November - 2020,200,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/111609-Dunia-Paralel-Anya.html,Rp 55.000,,Dunia Paralel Anya,9786021879528,MNM Artha Publishing ,Maret - 2013,-,250 gr,Soft Cover,-,Remaja,-,Indonesia ··
https://www.bukukita.com/Majalah/Busana-&-Kecantikan/131963-Anggun-dengan-Hijab-Gaun.html,Rp 37.800,,Anggun dengan Hijab Gaun (Full Color),9786021411568,MUTIARA ALAMAH ,Januari - 2015,-,200 gr,Soft Cover,-,Busana & Kecantikan,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/74276-Hikmah-Shirah-Nabawiyyah.html,Rp 28.000,,Hikmah Shirah Nabawiyyah,602,Indiva Media Kreasi ,Oktober - 2009,-,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Petualangan/135985-Sherlock-Sam-dan-Pusaka-Yang-Hilang-Di-Katong.html,Rp 37.000,,Sherlock Sam dan Pusaka Yang Hilang Di Katong,9786027652729,Buah Hati ,Juni - 2015,112,300 gr,Soft Cover,-,Petualangan,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/149010-Bertasawuf-di-Zaman-Edan-:-Hidup-Bersih.-Sederhana.-Mengabdi.html,Rp 79.000,,Bertasawuf di Zaman Edan : Hidup Bersih. Sederhana. Mengabdi,9786027595415,Republika ,Januari - 2017,410,400 gr,Soft Cover,-,Islam,-,Indonesia ··
"https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/168745-Berpegang-Pada-Kebenaran,-Bertindak-Dengan-Ketenangan.html",Rp 58.000,,"Berpegang Pada Kebenaran, Bertindak Dengan Ketenangan",9786237162926,Gemilang ,April - 2022,224,210 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/125104-The-3-Keys-to-Empowerment.html,Rp 90.000,,The 3 Keys to Empowerment,9786028482714,MIC ,Mei - 2014,-,450 gr,Soft Cover,-,Motivasi,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/149034-Business-Mentoring-101.html,Rp 89.000,,Business Mentoring 101,9786027862357,MIC ,Februari - 2017,-,200 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Sastra/125457-Mengantar-Dari-Luar.html,Rp 90.000,,Mengantar Dari Luar ,9786021318065,Diandra Primamitra ,Maret - 2014,-,550 gr,Soft Cover,-,Sastra,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Cerita-Anak/161575-AL-BIRUNI-Guru-Segala-Ilmu.html,Rp 54.000,,AL-BIRUNI - Guru Segala Ilmu (Bilingual Indonesia-Inggris),9786022683339,Luxima ,Maret - 2019,-,200 gr,Soft Cover,-,Cerita Anak,-,"Indonesia, English ··"
https://www.bukukita.com/Agama/Islam/131413-The-Perfect-Muslimah-:-Para-Wanita-Shalihah-Terbaik-Sepanjang-Masa.html,Rp 86.500,,The Perfect Muslimah : Para Wanita Shalihah Terbaik Sepanjang Masa ,9786021361009,Diandra Primamitra ,Desember - 2014,-,500 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/142436-Jomblo-Prinsip-atau-Nasib.html,Rp 29.000,,Jomblo Prinsip atau Nasib,9786021614495,Indiva Media Kreasi ,April - 2016,-,200 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia ··
https://www.bukukita.com/Kesehatan-dan-Lingkungan/Pengetahuan-Kesehatan/131347-Hidup-Sehat-untuk-Golongan-Darah-AB.html,Rp 65.000,,Hidup Sehat untuk Golongan Darah AB,9786021310892,Prima ,Desember - 2014,-,300 gr,Soft Cover,-,Pengetahuan Kesehatan,-,Indonesia ··
https://www.bukukita.com/Referensi/Referensi-Umum/147007-Calak-Edu-4-:-Esai-Esai-Pendidikan-2012-2014.html,Rp 52.500,,Calak Edu 4 : Esai-Esai Pendidikan 2012-2014,9786029193657,Alvabet ,Mei - 2015,276,350 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Pendidikan-&-Pengajar/161741-Metode-Penelitian-Tindakan-Kelas.html,Rp 79.000,,Metode Penelitian Tindakan Kelas (Edisi Revisi),9786024463021,Remaja Rosdakarya ,April - 2019,-,500 gr,Soft Cover,-,Pendidikan & Pengajar,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/161831-Ummahatul-Mukminin-Biografi-Ringkas-&-Sistematis-Sejarah-Kehidupan-Istri-Istri-Rasulullah.html,Rp 50.000,,Ummahatul Mukminin Biografi Ringkas & Sistematis Sejarah Kehidupan Istri-Istri Rasulullah,9786025806056,Khazanah Fawa'id ,April - 2019,-,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Komedi/165306-Ngakak-Bareng-+x+-+omorrow-x-+ogether.html,Rp 55.500,,Ngakak Bareng +x+ +omorrow x +ogether,9786232440692,Histeria ,Maret - 2020,-,240 gr,soft cover,-,Komedi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/161832-Tauhid-Kemanusiaan.html,Rp 95.000,,Tauhid Kemanusiaan,9786028995375,Pustaka Pesantren ,April - 2019,-,500 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/151964-Under-The-New-York-Sky.html,Rp 34.500,,Under The New York Sky,9786026595287,Anak Hebat Indonesia ,Agustus - 2017,180,200 gr,Soft Cover,-,Romance,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/148779-Janda-Janda-Korban-Terorisme-Di-Bali.html,Rp 100.000,,Janda-Janda Korban Terorisme Di Bali (Sebuah buku kisah nyata dari kejadian Bom Bali) (Disc 50%),9786021672525,PT. Percetakan Bali ,2017,-,200 gr,soft cover,-,Non-Fiksi Umum,-,Indonesia ··
